,sentence
104,Namusanze alina abasajja basatu b'ayimiridde nabo.
105,Abantu abamu balina ebyafaayo ebikaabya amaziga.
106,Abayizi batera nnyo okukaaba nga banyumya olugendo lw'okusoma kwabwe.
107,Abaganda abatuufu beebo abamanyi empagi enkulu okuzimbiddwa Obuganda.
108,Omuluka guno gulimu amaka agasoba mu bikumi ebitaano.
109,Sisobola kukkiriza mwana wange kwebaka nga talidde.
110,Omutwe guluma nnyo okusinga olubuto
111,Nze ndowooza nti oguleyo ennyumba endala eno ogirekere abaana kuba nabo bakuze.
112,Omuntu atakwata budde annyiiza nnyo okusinga omuntu omulala yenna.
113,Olugendo lwe tutambudde okutuuka wano lubadde luwanvu nnyo.
114,Okusoma ate n'otafuna mulimu kibeera kibi nnyo.
115,Mmange omuto ayagala nnyo okweraguza era y'ensonga lwaki mwavu nnyo.
116,Abato musaanye mu bawe eddembe lyabwe kubanga libaweebwa ssemateeka.
117,Njagala okugulayo ekibanja nsimbeko omusiri gwa ppamba.
118,Omwana ono y'ayasizza ensuwa yaffe.
119,Nga tonnaba kusalawo sooka olowooze ku kintu ekiddako.
120,Wankubidde essimu naye saakuwulidde kuba enkuba yabadde etonnya.
121,Tugenze mu kkanisa naye omubuulizi atulangidde okusaba ku nnaku enkulu zokka.
122,Ekifo kiri mwe twasembereza abagole kyali kirungi era njagala tuddeyo.
123,Omulala naye ayingire mbakoleko lumu kuba njagala kugenda.
124,Eggaali eno yeetaaga kuddaabiriza kuba ekaddiye nnyo.
125,Nina okuzaalayo omwana omwaka guno.
126,Mu bibuuzo bino kolamu ennamba ttaano zokka.
127,Bw'osukka wano omanya nti sigenda kukusasula ssente zo.
128,Mulekere awo okuwoggana kubanga muli bantu bakulu ekimala.
129,Lwaki omwana oyo akaaba nnyo ekiro ate nga maama we w'ali?
130,Omuyaayu gwalumye omwana ne bamutwala ku kitanda.
131,Omukadde akaaba omugongo buli kaseera oba gwaba ki?
132,Okutegeeragana kwe twatuukako tewakutambuliddeko.
133,Ekifuba ne ssenyiga bisumbuwa nnyo mukazi wange.
134,Onzuukusaako ekiro kuba nnina okukeera ennyo nsobole obutatuuka kikeerezi.
135,Nakuloose ekiro nga tutudde wali wansi w'omuti gw'omuyembe.
136,Ompaayiriza nnyo ennaku zino ate nga tosoose kunoonyereza kuzuula kituufu.
137,Ababadde bagenda okugattibwa omu agudde eddalu era embaga esasise.
138,Ekikere nakyo kirina obusagwa era omuntu asaanye okukyewala.
139,Akati kano kakalu naye tosobola kukamenya wadde okukaweta.
140,Ekibadde wano kibadde kizibu kya kutegeera kuba omukazi ayombye nnyo.
141,Nze ntya okuswala era kye nva mbeera ewaka nga neesirikidde.
142,Okudduka n'okuwuga mizannyo mirungi naye nze gyannema.
143,Okulemererwa okugenda e Bulaaya kyannuma nnyo kuba nali neesunze ennyonyi.
144,Olukalala lw'ebigambo luno luzibu nnyo era simanyi oba onaabisoma.
145,Obulamu bw'ekyalo bunyuma nnyo kuba buli kimu kya bwereere.
146,Oli wa mukisa okuzaala abalongo ate nga bonna bawala.
147,Mpulira nga nandisabye mukama nsookere ku mwana muwala.
148,Bwe ndifuna omukisa okulaba bazadde bo nja kubeebaza kuba baakukuza bulungi.
149,Omanyi nze saagala kunnimba kuba obeera tombazeemu magezi.
150,Omufu bamukaayanidde nga buli luuyi lwe lwagala okumutwala.
151,Olukolodde bonna abaana ne baseka.
152,Baakola bulungi okugemesa abaana baabwe nga bakyali bato.
153,Gwe olowooza nze nnabadde ssaagala kuwasa mukazi oyo?
154,Omululu kintu kibi nnyo era omusajja agulina tafumbirikika.
155,Sindika ssente ze nkubanja ku ssimu yange.
156,Tusaanye tulembeke amazzi buli nkuba lw'etonnya.
157,Nze nnakoowa okukima amazzi kuba temunsasula buli lwe ngakima.
158,Ebyo ebigambo bye mwawulidde si nze nnabyogera era baabadde bampaayiriza.
159,Mwenna muwandiike amannya gammwe ku lupapula luno.
160,Laddu yakubye endiga zonna ne zifa.
161,Akabenje ak'ekika kino mbadde ndudde okukalaba.
162,Obwedda nkugamba tugende nga gwe toyagala kati laba ebivuddemu.
163,Ani yakugamba okutambula ekiro mu biseera by'ennaku enkulu?
164,Nze sigwangako ddalu kuwasa muwala bwe tweddira muziro gumu.
165,Mu ggwanga tetulinaamu katale ka bisaanyi kati olunda bya ki?
166,Ngezaako okujjukira kye mbadde nkugamba.
167,Twasembayo kulabagana ku lunaku lwe twazannya omupiira.
168,Okuzaala kyangu naye ate okuweerera kizibu ensangi zino.
169,Omutwe mpulira gunnuma nnyo era neetaga eddagala.
170,Erinnyo lino ddene ku malala gonna ge nnina mu kamwa.
171,Okuwaata kye kikolwa ky'okuggya ekikuta ku mmere yonna.
172,Mugende mulabe oba omwana gwe njagala gy'ali.
173,Olowooza nze nnabadde nnina okukuggulira olyoke onnyiigire?
174,"Omusambwa bwe gwaboggola, abakazi bonna ne batandika okukaaba."
175,Nze bwe mundeka sigenda kujja kuba simanyiiyo.
176,Omusipi guno mpulira gunnyweza nnyo.
177,Wawulidde abantu abaabadde batambulira ku nnyumba ekiro?
178,Mu ssaawa nga mukaaga nsuubira nja kuba nga mmalirizza okufumba.
179,Kati kirabika nze ne bwe nkuwa ssente kuba tumaze okutegeeragana ne maama wo.
180,Ekibinja ky'abasirikale ekyasooka tekyalina mpisa wadde n'akatono.
181,Bw'owuliriza omwami oli nga ayogera oyinza okulowooza nti yaliwo nga banzaala.
182,Ebikennembi bimmaliddewo sukaali wange yenna gwe mbadde nterese.
183,Omusu kisolo kirungi era n'abagweddira batera okuba abalungi.
184,Bwe nnavudde ku kitanda n'engwa sazzeemu kwebaka ekiro kyonna.
185,Abayizi bonna tebaagala kusasula bisale bya ssomero nga bwe baalagirwa.
186,Abaana bonna baagaanye okwoza amasowaani.
187,Buli kintu ekitambula nali mmanyi nti kirina obulamu.
188,Omukolo gwabwe gwali munyuvu nnyo era n'emmere twaliira ddala.
189,Bw'otuuka mu kifo kino obeera tomanyi bifa bweru.
190,Lwaki entebe za muno zonna nzirugavu?
191,Omusajja oyo mmubanja naye tayagala kunsasula ssente zange.
192,Bwe mmalirizza okuwaayo empapula zange ne mpulira ng'obulamu bukomyewo.
193,Ebikolokomba by'amatooke birungi nnyo mu kutindira emmere.
194,Oyinza okulowooza nti olunaku lw'abaagalana lwatongozebwa mu ggwanga.
195,Kati ebissera bino toyinza kuwulira muntu yenna ayimba ku mukwano.
196,Obululu bwe yafuna bwali tebumusobozesa kufuuka mukulembeze wa ggwanga.
197,Nfuniraayo mutoowo gwe mba mpasa kuba mulina empisa.
198,Nze ne mukyala wange tetutera kulya kyamisana.
199,Tukolera mu bifo bya njawulo naye ate tuwuliziganya era ne tusisinkana.
200,Obadde olowooza nti neerabidde nti nkubanja ssente zange?
201,Omutamiivu abeera nga eyeebase naye nga ategeera bulungi nnyo.
202,Yalwala obulwadde bw'omutwe era bwe bwamuviirako okufa.
203,Ebbombo ddagala ddungi nnyo eri abavubuka okweggyako akasu.
204,Ekitiibwa kye baamuwa nga yaakatuuka ku mukolo kyali kimusaana.
205,Obudde bugenze naye nnina okumaliriza omulimu guno obutasukka leero.
206,Ekifo kino kirungi okuwummuliramu kubanga kyonna kisirifu ekimala.
207,Omubbi baamutema olubale lwa maanyi nnyo era kye kyamuviirako okufa.
208,Ekikolwa ky'okutwalira amateeka mu ngalo kikolwa kibi nnyo era kikyamu nnyo.
209,Omukulu w'ekitongole yavumiridde nnyo ekikolwa ky'okulya enguzi mu bakozi be.
210,Buli muntu ayingira wano alina okusooka okubuuzibwa ebibuuzo.
211,Bw'oba olaba nga tolina musango awo osobola okugenda ewaka.
212,Nze bwe nnawulidde nti akalulu tukawangudde n'entegekerawo akabaga.
213,Mpulira nga neegomba nnyo okukuba mukyala wange ekidaala.
214,Bwe twawulira ekintu ekibwatuka ffe abaali bayimiridde ne tudduka.
215,Ensonga z'okutunda ekibanja kino ziri mu kkooti era tukyalinze omusango guwulirwe.
216,Nkuleetedde essaawa eno ogitwale nga akalabo.
217,Bwe wayogedde eggulo mbadde siyinza butakuleetera kirabo olwaleero.
218,Abayizi bange bonna tebamanyi Lungereza.
219,Ani amanyi okuvvuunula ekigambo kino mu Lungereza?
220,Ekikolwa ky'okulya ebisiyaga kyawerebwa omukulembeze w'eggwanga.
221,Abalonzi buli kaseera babeera basabiriza ssente okuva mu bakulembeze.
222,Ekitooke kino kinene naye kissa akakota akatakkusa na mwana muto.
223,Ebibbo bye baaleeteramu ebirabo byali birungi nnyo.
224,Omugole yalemwa okubaako ebigambo by'ayogera ku lunaku lw'embaga.
225,Mpulira neesunze okugenda okulaba ku bazadde bange.
226,Ekibaluwa kye baasuula mu kitundu kino kyatuleetera okutya.
227,Olina okuba ng'olina empisa okusobola okutuuka ku buwanguzi bwonna
228,Buli muntu asooke atunule mu mulimu gwe nga tannaguwaayo kugololwa.
229,Bannange nze mpulira enjala ennuma nnyo.
230,Ababadde muwoggana mwenna mujje wano mu maaso.
231,Nnakugamba ove ku muwala oyo naye towulira.
232,Omukebe guno guddugala olina okusooka okugwoza gutukule.
233,Omukadde ono tayagala kusiima kintu kyonna ekibeera kimukoleddwa.
234,Eno gye nnafuna omulimu tewabeereka.
235,Buli mukazi asaanye ayagalwe nga bwe kisaana.
236,Olungereza lwammwe musaana mu lwongeremu.
237,Lwaki toyagala kwogera Luganda ate nga oli muganda?
238,Wano wonna waddugala ate mmwe we mutudde.
239,Weetegereze bulungi olabe ani ali mu mmotoka eyo.
240,Taata wa mukyala wange bwe yampita nnawulira nga mpunze.
241,Lwaki obadde onnimba nga bw'otaafuna lupapula lwo?
242,Ebintu bye baaleeta mu kwanjula kwe byali bingi nnyo.
243,Oyinza okulowooza nti omuwala oli tazaalangako.
244,Omusujja ennaku zino mungi nnyo mu baana.
245,Buli kirwadde ekibalukawo kiteeka abantu bonna ku bunkenke.
246,Ekigwo kye baamukuba kye kyamuviirako okufa.
247,Lwaki toyagala kwambala ssaati njeru?
248,Nze nnakoowa abasuubuzi abaagala okuseera abantu.
249,Abasigadde emabega muweereze ssente zammwe mangu.
250,Omboggolera ompita mwana muto?
251,Ekibala kye baalya kye kituviirako okubonaabona.
252,Buli abadde yeeyita omusajja addemu okuwoggana mmulageko.
253,Ennaku zino tweyunira nnyo omutimbagano.
254,Lowoozaayo ku bika by'Abaganda bannansangwa.
255,Buli kirowoozo ekikuvamu kibeera kikolokota omukulembeze.
256,Sirowooza nti nze asaanidde okwera wano nga mmwe abato weemuli.
257,Ekide kyagenze okuvuga nga nze nnatuuse dda ku ffumbiro.
258,Omufumbi oyo agabula akamere katono nnyo.
259,Ku bantu abali wano oyinza okulowooza Uganda yonna eweddeyo.
260,Ekikata kya lumonde tekisaanye kuba kigulumivu nnyo.
261,Nze bwe nnakula ne nva mu kukola eby'ekito.
262,Omuddusi oyo adduka nnyo ky'ava awangula buli kaseera.
263,Abavunaanyizibwa ku bisolo bagaanye okuwuliriza omulanga gwaffe.
264,Omuwadde ekikajjo kye nnakugambye okumuwa?
265,Yaleeta ebintu bitono nnyo era ne tumumma omukazi.
266,Omusiraamu eyakubiddwa amasasi teyabadde na musango.
267,Okusabiriza kikolwa nnyo mu baana naddala abato.
268,Okwetawula nga nzija eno mpulira nnakukoowa.
269,Ekibadde kiwoggana kati sikyakiwulira.
270,Obudde buno bubeera bwa kulya kyamisana.
271,Nange mumpeereze ku bintu bye baabawadde.
272,Omusaala gwe yabadde afuna mutono nnyo .
273,Okusinziira ku buyigirize bwange sisobola kukola mulimu ogwo.
274,Ekiwandiiko kino kinene naye kizibu nnyo kya kutegeera.
275,Abawandiika obubi musaana kuzzibwa mu kibiina.
276,Baakugamba okuwuliriza bazadde bo naye tewawulira yadde.
277,Ekisinga okunnuma kwe kukugamba nti sirina ssente n'otawulira.
278,Buli muntu alina okubeera omugumiikiriza mu bulamu bwe.
279,Edda nali ndowooza nti buli muntu azaala abeera mukulu naye si kituufu.
280,Omukungu bwe yafa abantu bonna baafuna okunyolwa mu mitima gyabwe.
281,Ekire ky'enkuba kikedde kutonnya era ne kireeta empewo mu kibuga.
282,Ebintu ebisinga mu bulamu bibeera bizibu nga tonnabitandika kubikola.
283,Omuntu alina olugambo kizibu nnyo kya kumuteresa byama byo.
284,Abasambi be tubadde twesiga tebasobodde kukola kye tubasuubiramu.
285,Omwana akuziddwa obulungi abeera yeegombebwa buli muntu amulabako.
286,Nze bwe naakula njagala kufuuka musawo wa bisolo.
287,Mu maaso eyo nnina ekirooto ky'okwesimbawo nga omukulu w'abayizi ku ssomero lino.
288,Bwe mutandika okuwoggana nga nze nfuluma.
289,Kizibu nnyo okuwuliriza eddoboozi ly'omuntu nga ali mu kifo ekiwoggana.
290,Nze era nnabadde ndowooza nti baawo gwe bakwatidde mu bubbi.
291,Ekiseera ekisinga nkimala nga mpandiika bitabo naddala eby'abaana.
292,Obuwuuwo bwe baatadde ku mmere eno bubadde butono nnyo.
293,Omusomesa yagenze okutusaba omulimu nga sinnagumaliriza.
294,Ebimu ku bintu ebisinga obukulu mu bulamu kwe kubeera omwetowaze ennyo.
295,Omusajja omwenzi atama naye ate n'omutamiivu tabeereka naye.
296,Abasaabaze abataagala kusasula bakumalako emirembe.
297,Ogamba nnabadde sibawulira we mwakomeddewo?
298,Bino ebintu birimu ssente naye lwakuba nti bikooya nnyo.
299,Nze nali nsuubira nti osobola okunnyamba naye tonnyambye.
300,Obujulizi obwaleetebwa mu kkooti bwonna omulamuzi yabugaana.
301,Baamusiba okumala emyaka mukaaga lwa kubba nte za taata we.
302,Nze ebintu byonna by'osomesezza mu butuufu sibitegedde.
303,Oyinza okunfunirayo ku bitabo by'okubala nga mukaaga oba musanvu?
304,Ono omwana gwe wabadde ogamba nti talina mpisa?
305,Enkuuka kye kivvulu ekisinga obuganzi mu Uganda ensangi zino.
306,Abayimbi bonna ono ye yabasinze okuyimba omwaka guno.
307,Ekyo kye wakoze nze nga mukulu wo nnabadde sikikusuubira mu.
308,Ekibumba kye kitundu ekisinga omugaso mu mubiri gw'omuntu.
309,Omusaayi gwe mukwafu nnyo era tegutambula bulungi mu mubiri.
310,Ekibadde kimuleetera omusujja omusawo akizudde.
311,Wano we muleese omulwadde wammwe tewaliiwo ddagala.
312,Ekisinga obukulu gwe kumanya nti olina ensobi ne weetonda.
313,Saayagadde kukugamba nti nze nnina ebitabo byo nga ojja kunsumbuwa.
314,Nze ekituufu nkimanyi wadde obwedda nsirise.
315,Nja kulinda omusomesa asooke kubakuba ndyoke njogere ekituufu.
316,Eky'okuddamu mmwe kye muwadde si kye kituufu okusinziira ku kibuuzo kino.
317,Ebbula ly'ensimbi lye liviiriddeko abaana abasinga okutandika okwetunda.
318,Oteekeddwa okuwandiika mu mukono ogusomeka oleme kufiirwa bubonero.
319,Ki ekisinga omugaso ku bintu bino byombi?
320,Obuyambi bwe twabadde twetaaga nga tetwabufunye?
321,Yafuna ensimbi nnyingi mu muzannyo gwe ogwasembayo.
322,Kiki ekisinze okukutabula n'omukazi oyo?
323,Abantu abamu balowooza nti omuntu bw'asirika abeera musiru.
324,Essimu gye baamukubira ekiro ye yasinga okuvaako obuzibu bwonna.
325,Enkola y'okuzza abantu abatalina mirimu mu byalo esaana kuzza.
326,Lwaki abantu abatalina mirimu beesibye nnyo mu bibuga?
327,Emirundi egimu tusaana tubeere ba mazima eri obulamu bwaffe?
328,Lwaki toyagala kugenda mu ddwaliro kwekebeza?
329,Wakoma ddi okugaba omusaayi?
330,Okimanyi bulungi nti ffe kkolero ly'omusaayi erisingayo?
331,Olowooza okugaba omusaayi kulimu kirungi ki?
332,Ani yali takumanyi nti gwe wali asinga eddalu mu kibiina ekyo?
333,Nnyinza kulya bintu ki okuzzaawo omubiri gwange?
334,Omugejjo omungi si mulungi mu bantu naddala abaana abato.
335,Gwe waakalaba abantu bameka abalya ebibala ebyo?
336,Amaaso nago ennaku zino bwafuuka bulwadde?
337,Tulinayo empaka z'okukubaganya ebirowoozo ku Bbalaza eno.
338,Wali weetabyeko mu mpaka zonna?
339,Amateeka gakyogera lwatu nti omuntu okwesimbawo alina okubeera ng'aweza emyaka egy'esalirawo.
340,Ojjukira ensasagge eyali mu lukiiko lw'eggwanga olukulu?
341,Lwaki abantu abasinga tebateeka kitiibwa mu ssemateeka?
342,Ensonga zange ze nnabawa abasinga baazisuula muguluka.
343,Omuwala oyo yandifubye n'asoma kuba bamuwa buli kimu.
344,Maama w'omwana oyo yafa nga omwana akyali muto.
345,Musaanye mulabirire amabujje gonna ge tulina mu ggwanga.
346,Ennaku zino abazadde bavudde ku ndiisa y'abaana ennungi.
347,Kaakati osanga omwana omuto nga alinga omuntu omukulu.
348,Ani avunaanyizibwa ku mbeera eno eri mu ggwanga?
349,Weetegereze olabe oba bino byonna ebiriwo birina gye bitutwala.
350,Lwaki ekittabantu ennaku zino kizzeemu?
351,Obukundi bw'ababbi bubeera bungi mu biseera nga tugenda okulonda.
352,Mwesige ebyo bye mumanyi nga mmwe kuba ebisinga bye muwulira si bituufu.
353,Abantu abasinga mu kifo ky'okwebuuza ku muntu nga bw'akola asalawo kumuwalana.
354,Awo ate ekiddako kiba ki mu butuufu?
355,Ennaku zino ebizibu bye nnina bingi nnyo.
356,Lwaki obeera olwowooza nti mbeera nninze gwe buli kaseera?
357,Olwaleero sinnalya ku kantu naye enjala tennuma.
358,Atamanyi ngeri gye tuwandiikamu Luganda asaana annoonye.
359,Ekibanja ekyo kye kyaviirako omukazi oli okufa.
360,Akakiiko ke baateekawo okugonjoola enkaayana ezo kadda wa?
361,Ani yali ateeberezebwa okubeera n'ekyapa ekyo?
362,Empisa y'obusika esaanye etereezebwa mu Buganda.
363,Obusika kitegeeza okuteekawo omuntu n'adda mu bigere by'omugenzi.
364,Omuntu abeera alondeddwa tubeera tumusuubira okukola byonna omuntu eyafa bye yali akola.
365,Ate kati olwo gwe ogenda kukola otya?
366,Abantu baafuna ekyekango omwami bwe yalaamira omwana omuwala.
367,Lwaki omwana omuwala takkirizibwa kusikira kitaawe?
368,Enkola y'okuvvoola obuwangwa wano mu Buganda esaana kuwera.
369,Abanoonyereza abaasooka baakola omulimu munene naye nabo baalina obunafu.
370,Kati gwe ng'omuntu atendekebwa otuwa magezi ki?
371,Ddi lwe musuubira okufulumya ekiwandiiko ekyo.
372,Omwaka guno nga tegunnaggwako nsuubira okuzimbayo akayumba.
373,Ekire ky'enkuba ekyakedde okutonnya kyasannyalazza emirimu.
374,Obudde nga buzibye mangu olwaleero?
375,Abalimi bonna kati basanyufu kuba enkuba etonnye.
376,Waliwo ebitundu nga tebifunanga ku nkuba omwezi guno.
377,Awo kati ani ateekeddwa okukola ku ebintu ebyo wano?
378,Ffe jjukira nti ezo ensoga tetuziyingiramu.
379,Olulimi lwe mwamugambye okwogera yabadde tasobola kulwogera.
380,Tusaanye twekolemu omulimu tuwandiike ebitabo.
381,Twafuna okusoomoozebwa kungi ku lunaku lw'okukuza ennimi ennansi.
382,Abayivu baali bangi ku lunaku olwo.
383,Enkola y'okutwawulamu abayizi n'abasomsesa nnagisiima.
384,Okimanyi nti awo ofuna amaanyi naawe okusoma?
385,Ekiseera ekyo we yafulumira wabweru yali amaze okwogera .
386,Nnakizuula nti abasajja baagala nnyo ennimi zaabwe.
387,Okimanyi nti omugenyi omukulu yava bweru wa ggwanga ku lunaku olwo?
388,Ekyasinga okunneewunyisa nti yeeteekamu ssente ze lwa lulimi.
389,Gwe kati ekyo kyakuyigiriza ki?
390,Obadde okimanyi nti olulimi lye ggwanga?
391,Kabonero ki akalaga eggwanga erikula oba eryakula edda?
392,Buli musomesa eyajja okusomesa ng'aleeta kipya.
