,unnamed: 0,sentence
26,26.0,Omukyala oli agambye ogende mwogeremu alekere awo okutubuuza ebibuuzo ebingi.
27,27.0,Lwaki wano tetulinaawo kitabo kya bagenyi mwe tulina okuwandiika nga tutuuse?
28,28.0,Okusooka kwa byonna nnawulidde nga nfa ensonyi bwe nnalabye maama.
29,29.0,Sisobola kwagala mukazi yenna atali wa nzikiriza yange kuba maama takyagala.
30,30.0,Ku lunaku lw'embaga abantu baali bangi nnyo nga tolina w'oyisa kigere.
31,31.0,Fumba ebikoola by'entula oluvannyuma ogattemu amazzi obinywe.
32,32.0,Ssenga waffe mukazi mukambwe naye asonyiwa mangu nnyo.
33,33.0,Essimu z'ekiro ziviiriddeko obufumbo bungi nnyo okusasika ensangi zino mu bavubuka.
34,34.0,Okuwasa amangu kirungi nnyo wabula kikutwalira ebbanga okwezimba.
35,35.0,Omuntu omukulu nga akola eby'ekito owulira nga akutabula n'oyagala okumukuba.
36,36.0,Nze sirina ssente naye ate siyinza kukemebwa kubba oba okumenya amateeka.
37,37.0,Ebiseera mwe nnatandikira okusoma ewaka twalina ssente ntono nnyo.
38,38.0,Mwenna musooke mufulume ono amalirize okwera ekibiina kino nga bwe nnamugambye.
39,39.0,Fuba nnyo okulaba nga okuza abaana bo nga balina empisa kuba kibayamba.
40,40.0,Olina okuba nga wasomye nnyo okusobola okuyita ekibuuzo kino.
41,41.0,Tugende e Ntwetwe tulabe ku bye balimayo.
42,42.0,Genda mu nnyumba olabe oba abaana bakyatunula.
43,43.0,Yalafuubana nnyo okulaba nga abaana be basoma wadde omu yagaana.
44,44.0,Omugagga yatuuka okugula ettaka nga omukyala gwe yalese mu mmotoka amulengera.
45,45.0,Omukadde oyo muyonjo nnyo n'okusinga abavubuka abato.
46,46.0,Gwe tunuulira ennyumba ye bw'efaanana.
47,47.0,Ekintu ekisinga okunnuma kwe kulaba ng'omuntu tasiima kintu kimukoleddwa.
48,48.0,Nfuniraayo emitwalo ataano naye amabanja gagenda kunsibya.
49,49.0,Omukulu ono yatugamba okufukiriza obucupa ebimera naye kimenya nnyo.
50,50.0,Essaawa zino buli muntu mmusuubira okuba nga yamalirizza okwewandiisa.
51,51.0,Okubumba nagwo kati mulimu mulungi nnyo.
52,52.0,Buli muganda tumusuubira okubeera ng'alina ekika.
53,53.0,Ekintu ekisinga obukulu kwe kuba nga obadde olina ekintu ky'okolako.
54,54.0,Omulimu guno mukulu nnyo eri buli muntu ali wano.
55,55.0,Enfunda eziwera omusajja oyo twesanze nga tumuzuulamu obuvuyo.
56,56.0,Omuyaga gw'ebyobufuzi oguliwo gugenda kuzingamya okuyimba.
57,57.0,Abayimbi okusooka baali tebaatwalibwa nga bantu ba mugaso naye kati kyakyuka.
58,58.0,Endowooza eyo yali nkyamu kuba omwana oli teyalina buzibu.
59,59.0,Mu kulaba okwange nze nali nteekeddwa okukwetondera.
60,60.0,Wabula nnina ekintu kye neetaaga mu bulamu bwange.
61,61.0,Obadde olowooza nti bagenda kuleetera ssente mmeka?
62,62.0,Ekizimbe kiri kinene naye abaakizimba baakiwa omulyango mutono.
63,63.0,Ne bwe nsirika era ontandika ng'onnoonyaako olutalo.
64,64.0,Omukyala oyo amaze ebbanga eriwera nga anjogerera amafuukuule.
65,65.0,Ebisinga mbitegedde naye olulimi olw'okukozesa lwe lunsumbuwa.
66,66.0,Abasinga balowooza nti omuntu asoma Oluganda aba tamanyi Lungereza.
67,67.0,Emirundi giweze nga omukulu oyo takkiriza banne kweyagalira mu ggwanga.
68,68.0,Ebivvulu bye ebisukka mu bikumi ebitaano byonna biwereddwa.
69,69.0,Nteraako emmere ntono nnyo kuba gye tuva tusoose kulya.
70,70.0,Omusirikale omulungi ateekwa okuba ng'alina obusobozi okunoonyereza.
71,71.0,Naye lwaki abasomesa basasulwa omusaala mutono ate ne gulwayo?
72,72.0,Ekiviiriddeko obubenje ensangi zino tekimanyiddwa naye abakugu bakyanoonyereza.
73,73.0,Tewali musajja atayagala kukuba ku mbaga kuba kiweesa nnyo ekitiibwa.
74,74.0,Ku lwokutaano nkeera nnyo kubanga nkolera wala ate banneetaaga mu bwangu.
75,75.0,Omuzimu gwakata muwalawe omuto ne gw'ogera gye yali yatereka ssente.
76,76.0,Kirungi nnyo okulima ebikajjo mu lutobazi kubanga bibeera bigonda bulungi.
77,77.0,Omutwe gw'ekiwalaata gusaana okuteekebwako enkoofiira buli lunaku.
78,78.0,Nze lwe nakomawo okuva e bulaaya nawulira nga ninga azuukidde mu bafu.
79,79.0,Afubye okutuyigiriza engeri y'okukwatamu amaka wadde nga nze sinnawasa.
80,80.0,Omukyala yenna azadde abalongo tasaana kukyayibwa kuba kimuluma nnyo.
81,81.0,Ddayo ewammwe nze sisobola mukyala atamanyi wadde okwoza akatambaala.
82,82.0,Teekawo emikono ebiri osobole okulembeka ebinyebwa ebiwera.
83,83.0,Omulamuzi yabadde mutuufu nnyo okumusiba emyaka asatu mu kkomera.
84,84.0,Mpeereza ku kitabo kyange waliwo bye njagala okuwandiika nga sinnaba byerabira.
85,85.0,Enjovu kisolo kinene nnyo lwakuba ate kirina akakira akatono.
86,86.0,Obufuzi obuzze bubaawo bubadde tebusikiriza bavubuka kwenyigira mu bya kulonda.
87,87.0,Omulambo gw'omuwala gwasangiddwa mu kiyumba ekikadde nga guliko enkwagulo mu bulago.
88,88.0,Njagala nnyo omuntu azza omusango ne yeetonda ate n'awa obweyamo obutakiddamu.
89,89.0,Olowooza lwaki abaana abato tebaagala kugenda ku masinzizo?
90,90.0,Nja kuba musanyufu singa maama anandeetera ebintu bye nnamutumye.
91,91.0,Mukazi wange yagaana okuddamu okulya mukene n'ebinyeebwa.
92,92.0,Tuula wansi nkubuulire ensonga lwaki nakugobye ku mulimu.
93,93.0,Abakazi abasalawo okugezza amabeere kibeera kibi nnyo.
94,94.0,Buli muntu mu Buganda ateekwa okuwa kabaka ekitiibwa ekisaanidde.
95,95.0,Ababba ettaka ku bakadde abateesobola basaana kuvunaanibwa era bakangavvulwe.
96,96.0,Taata bwe nasomanga obulungi yangulira nga empale
97,97.0,Kati okwambala olugoye olumyufu e Kampala kintu kya bbeeyi.
98,98.0,Saagala nnyo kulya butula buno obwa katunkuma.
99,99.0,Osobola okutambula okuva wano okutuuka e Masaka?
100,100.0,Olubuto olutali lwetegekere luzza nnyo abafumbo emabega.
101,101.0,Ettaka lino liriko enkaayana era ensonga zikyali mu Kkooti okutuusa kati.
102,102.0,Omuwala oyo ayambala bulungi naye alemeddwa okufumbirwa.
103,103.0,Mpulira nkooye nnyo ate n'omusujja gunnuma okukamala.
104,104.0,Namusanze alina abasajja basatu b'ayimiridde nabo.
105,105.0,Abantu abamu balina ebyafaayo ebikaabya amaziga.
106,106.0,Abayizi batera nnyo okukaaba nga banyumya olugendo lw'okusoma kwabwe.
107,107.0,Abaganda abatuufu beebo abamanyi empagi enkulu okuzimbiddwa Obuganda.
108,108.0,Omuluka guno gulimu amaka agasoba mu bikumi ebitaano.
109,109.0,Sisobola kukkiriza mwana wange kwebaka nga talidde.
110,110.0,Omutwe guluma nnyo okusinga olubuto
111,111.0,Nze ndowooza nti oguleyo ennyumba endala eno ogirekere abaana kuba nabo bakuze.
112,112.0,Omuntu atakwata budde annyiiza nnyo okusinga omuntu omulala yenna.
113,113.0,Olugendo lwe tutambudde okutuuka wano lubadde luwanvu nnyo.
114,114.0,Okusoma ate n'otafuna mulimu kibeera kibi nnyo.
115,115.0,Mmange omuto ayagala nnyo okweraguza era y'ensonga lwaki mwavu nnyo.
116,116.0,Abato musaanye mu bawe eddembe lyabwe kubanga libaweebwa ssemateeka.
117,117.0,Njagala okugulayo ekibanja nsimbeko omusiri gwa ppamba.
118,118.0,Omwana ono y'ayasizza ensuwa yaffe.
119,119.0,Nga tonnaba kusalawo sooka olowooze ku kintu ekiddako.
120,120.0,Wankubidde essimu naye saakuwulidde kuba enkuba yabadde etonnya.
121,121.0,Tugenze mu kkanisa naye omubuulizi atulangidde okusaba ku nnaku enkulu zokka.
122,122.0,Ekifo kiri mwe twasembereza abagole kyali kirungi era njagala tuddeyo.
123,123.0,Omulala naye ayingire mbakoleko lumu kuba njagala kugenda.
124,124.0,Eggaali eno yeetaaga kuddaabiriza kuba ekaddiye nnyo.
125,125.0,Nina okuzaalayo omwana omwaka guno.
126,126.0,Mu bibuuzo bino kolamu ennamba ttaano zokka.
127,127.0,Bw'osukka wano omanya nti sigenda kukusasula ssente zo.
128,128.0,Mulekere awo okuwoggana kubanga muli bantu bakulu ekimala.
129,129.0,Lwaki omwana oyo akaaba nnyo ekiro ate nga maama we w'ali?
130,130.0,Omuyaayu gwalumye omwana ne bamutwala ku kitanda.
131,131.0,Omukadde akaaba omugongo buli kaseera oba gwaba ki?
132,132.0,Okutegeeragana kwe twatuukako tewakutambuliddeko.
133,133.0,Ekifuba ne ssenyiga bisumbuwa nnyo mukazi wange.
134,134.0,Onzuukusaako ekiro kuba nnina okukeera ennyo nsobole obutatuuka kikeerezi.
135,135.0,Nakuloose ekiro nga tutudde wali wansi w'omuti gw'omuyembe.
136,136.0,Ompaayiriza nnyo ennaku zino ate nga tosoose kunoonyereza kuzuula kituufu.
137,137.0,Ababadde bagenda okugattibwa omu agudde eddalu era embaga esasise.
138,138.0,Ekikere nakyo kirina obusagwa era omuntu asaanye okukyewala.
139,139.0,Akati kano kakalu naye tosobola kukamenya wadde okukaweta.
140,140.0,Ekibadde wano kibadde kizibu kya kutegeera kuba omukazi ayombye nnyo.
141,141.0,Nze ntya okuswala era kye nva mbeera ewaka nga neesirikidde.
142,142.0,Okudduka n'okuwuga mizannyo mirungi naye nze gyannema.
143,143.0,Okulemererwa okugenda e Bulaaya kyannuma nnyo kuba nali neesunze ennyonyi.
144,144.0,Olukalala lw'ebigambo luno luzibu nnyo era simanyi oba onaabisoma.
145,145.0,Obulamu bw'ekyalo bunyuma nnyo kuba buli kimu kya bwereere.
146,146.0,Oli wa mukisa okuzaala abalongo ate nga bonna bawala.
147,147.0,Mpulira nga nandisabye mukama nsookere ku mwana muwala.
148,148.0,Bwe ndifuna omukisa okulaba bazadde bo nja kubeebaza kuba baakukuza bulungi.
149,149.0,Omanyi nze saagala kunnimba kuba obeera tombazeemu magezi.
150,150.0,Omufu bamukaayanidde nga buli luuyi lwe lwagala okumutwala.
151,151.0,Olukolodde bonna abaana ne baseka.
152,152.0,Baakola bulungi okugemesa abaana baabwe nga bakyali bato.
153,153.0,Gwe olowooza nze nnabadde ssaagala kuwasa mukazi oyo?
154,154.0,Omululu kintu kibi nnyo era omusajja agulina tafumbirikika.
155,155.0,Sindika ssente ze nkubanja ku ssimu yange.
156,156.0,Tusaanye tulembeke amazzi buli nkuba lw'etonnya.
157,157.0,Nze nnakoowa okukima amazzi kuba temunsasula buli lwe ngakima.
158,158.0,Ebyo ebigambo bye mwawulidde si nze nnabyogera era baabadde bampaayiriza.
159,159.0,Mwenna muwandiike amannya gammwe ku lupapula luno.
160,160.0,Laddu yakubye endiga zonna ne zifa.
161,161.0,Akabenje ak'ekika kino mbadde ndudde okukalaba.
162,162.0,Obwedda nkugamba tugende nga gwe toyagala kati laba ebivuddemu.
163,163.0,Ani yakugamba okutambula ekiro mu biseera by'ennaku enkulu?
164,164.0,Nze sigwangako ddalu kuwasa muwala bwe tweddira muziro gumu.
165,165.0,Mu ggwanga tetulinaamu katale ka bisaanyi kati olunda bya ki?
166,166.0,Ngezaako okujjukira kye mbadde nkugamba.
167,167.0,Twasembayo kulabagana ku lunaku lwe twazannya omupiira.
168,168.0,Okuzaala kyangu naye ate okuweerera kizibu ensangi zino.
169,169.0,Omutwe mpulira gunnuma nnyo era neetaga eddagala.
170,170.0,Erinnyo lino ddene ku malala gonna ge nnina mu kamwa.
171,171.0,Okuwaata kye kikolwa ky'okuggya ekikuta ku mmere yonna.
172,172.0,Mugende mulabe oba omwana gwe njagala gy'ali.
173,173.0,Olowooza nze nnabadde nnina okukuggulira olyoke onnyiigire?
174,174.0,"Omusambwa bwe gwaboggola, abakazi bonna ne batandika okukaaba."
175,175.0,Nze bwe mundeka sigenda kujja kuba simanyiiyo.
176,176.0,Omusipi guno mpulira gunnyweza nnyo.
177,177.0,Wawulidde abantu abaabadde batambulira ku nnyumba ekiro?
178,178.0,Mu ssaawa nga mukaaga nsuubira nja kuba nga mmalirizza okufumba.
179,179.0,Kati kirabika nze ne bwe nkuwa ssente kuba tumaze okutegeeragana ne maama wo.
180,180.0,Ekibinja ky'abasirikale ekyasooka tekyalina mpisa wadde n'akatono.
181,181.0,Bw'owuliriza omwami oli nga ayogera oyinza okulowooza nti yaliwo nga banzaala.
182,182.0,Ebikennembi bimmaliddewo sukaali wange yenna gwe mbadde nterese.
183,183.0,Omusu kisolo kirungi era n'abagweddira batera okuba abalungi.
184,184.0,Bwe nnavudde ku kitanda n'engwa sazzeemu kwebaka ekiro kyonna.
185,185.0,Abayizi bonna tebaagala kusasula bisale bya ssomero nga bwe baalagirwa.
186,186.0,Abaana bonna baagaanye okwoza amasowaani.
187,187.0,Buli kintu ekitambula nali mmanyi nti kirina obulamu.
188,188.0,Omukolo gwabwe gwali munyuvu nnyo era n'emmere twaliira ddala.
189,189.0,Bw'otuuka mu kifo kino obeera tomanyi bifa bweru.
190,190.0,Lwaki entebe za muno zonna nzirugavu?
191,191.0,Omusajja oyo mmubanja naye tayagala kunsasula ssente zange.
192,192.0,Bwe mmalirizza okuwaayo empapula zange ne mpulira ng'obulamu bukomyewo.
193,193.0,Ebikolokomba by'amatooke birungi nnyo mu kutindira emmere.
194,194.0,Oyinza okulowooza nti olunaku lw'abaagalana lwatongozebwa mu ggwanga.
195,195.0,Kati ebissera bino toyinza kuwulira muntu yenna ayimba ku mukwano.
196,196.0,Obululu bwe yafuna bwali tebumusobozesa kufuuka mukulembeze wa ggwanga.
197,197.0,Nfuniraayo mutoowo gwe mba mpasa kuba mulina empisa.
198,198.0,Nze ne mukyala wange tetutera kulya kyamisana.
199,199.0,Tukolera mu bifo bya njawulo naye ate tuwuliziganya era ne tusisinkana.
200,200.0,Obadde olowooza nti neerabidde nti nkubanja ssente zange?
201,201.0,Omutamiivu abeera nga eyeebase naye nga ategeera bulungi nnyo.
202,202.0,Yalwala obulwadde bw'omutwe era bwe bwamuviirako okufa.
203,203.0,Ebbombo ddagala ddungi nnyo eri abavubuka okweggyako akasu.
204,204.0,Ekitiibwa kye baamuwa nga yaakatuuka ku mukolo kyali kimusaana.
205,205.0,Obudde bugenze naye nnina okumaliriza omulimu guno obutasukka leero.
206,206.0,Ekifo kino kirungi okuwummuliramu kubanga kyonna kisirifu ekimala.
207,207.0,Omubbi baamutema olubale lwa maanyi nnyo era kye kyamuviirako okufa.
208,208.0,Ekikolwa ky'okutwalira amateeka mu ngalo kikolwa kibi nnyo era kikyamu nnyo.
209,209.0,Omukulu w'ekitongole yavumiridde nnyo ekikolwa ky'okulya enguzi mu bakozi be.
210,210.0,Buli muntu ayingira wano alina okusooka okubuuzibwa ebibuuzo.
211,211.0,Bw'oba olaba nga tolina musango awo osobola okugenda ewaka.
212,212.0,Nze bwe nnawulidde nti akalulu tukawangudde n'entegekerawo akabaga.
213,213.0,Mpulira nga neegomba nnyo okukuba mukyala wange ekidaala.
214,214.0,Bwe twawulira ekintu ekibwatuka ffe abaali bayimiridde ne tudduka.
215,215.0,Ensonga z'okutunda ekibanja kino ziri mu kkooti era tukyalinze omusango guwulirwe.
216,216.0,Nkuleetedde essaawa eno ogitwale nga akalabo.
217,217.0,Bwe wayogedde eggulo mbadde siyinza butakuleetera kirabo olwaleero.
218,218.0,Abayizi bange bonna tebamanyi Lungereza.
219,219.0,Ani amanyi okuvvuunula ekigambo kino mu Lungereza?
220,220.0,Ekikolwa ky'okulya ebisiyaga kyawerebwa omukulembeze w'eggwanga.
221,221.0,Abalonzi buli kaseera babeera basabiriza ssente okuva mu bakulembeze.
222,222.0,Ekitooke kino kinene naye kissa akakota akatakkusa na mwana muto.
223,223.0,Ebibbo bye baaleeteramu ebirabo byali birungi nnyo.
224,224.0,Omugole yalemwa okubaako ebigambo by'ayogera ku lunaku lw'embaga.
225,225.0,Mpulira neesunze okugenda okulaba ku bazadde bange.
226,226.0,Ekibaluwa kye baasuula mu kitundu kino kyatuleetera okutya.
227,227.0,Olina okuba ng'olina empisa okusobola okutuuka ku buwanguzi bwonna
228,228.0,Buli muntu asooke atunule mu mulimu gwe nga tannaguwaayo kugololwa.
229,229.0,Bannange nze mpulira enjala ennuma nnyo.
230,230.0,Ababadde muwoggana mwenna mujje wano mu maaso.
231,231.0,Nnakugamba ove ku muwala oyo naye towulira.
232,232.0,Omukebe guno guddugala olina okusooka okugwoza gutukule.
233,233.0,Omukadde ono tayagala kusiima kintu kyonna ekibeera kimukoleddwa.
234,234.0,Eno gye nnafuna omulimu tewabeereka.
235,235.0,Buli mukazi asaanye ayagalwe nga bwe kisaana.
236,236.0,Olungereza lwammwe musaana mu lwongeremu.
237,237.0,Lwaki toyagala kwogera Luganda ate nga oli muganda?
238,238.0,Wano wonna waddugala ate mmwe we mutudde.
239,239.0,Weetegereze bulungi olabe ani ali mu mmotoka eyo.
240,240.0,Taata wa mukyala wange bwe yampita nnawulira nga mpunze.
241,241.0,Lwaki obadde onnimba nga bw'otaafuna lupapula lwo?
242,242.0,Ebintu bye baaleeta mu kwanjula kwe byali bingi nnyo.
243,243.0,Oyinza okulowooza nti omuwala oli tazaalangako.
244,244.0,Omusujja ennaku zino mungi nnyo mu baana.
245,245.0,Buli kirwadde ekibalukawo kiteeka abantu bonna ku bunkenke.
246,246.0,Ekigwo kye baamukuba kye kyamuviirako okufa.
247,247.0,Lwaki toyagala kwambala ssaati njeru?
248,248.0,Nze nnakoowa abasuubuzi abaagala okuseera abantu.
249,249.0,Abasigadde emabega muweereze ssente zammwe mangu.
250,250.0,Omboggolera ompita mwana muto?
251,251.0,Ekibala kye baalya kye kituviirako okubonaabona.
252,252.0,Buli abadde yeeyita omusajja addemu okuwoggana mmulageko.
253,253.0,Ennaku zino tweyunira nnyo omutimbagano.
254,254.0,Lowoozaayo ku bika by'Abaganda bannansangwa.
255,255.0,Buli kirowoozo ekikuvamu kibeera kikolokota omukulembeze.
256,256.0,Sirowooza nti nze asaanidde okwera wano nga mmwe abato weemuli.
257,257.0,Ekide kyagenze okuvuga nga nze nnatuuse dda ku ffumbiro.
258,258.0,Omufumbi oyo agabula akamere katono nnyo.
259,259.0,Ku bantu abali wano oyinza okulowooza Uganda yonna eweddeyo.
260,260.0,Ekikata kya lumonde tekisaanye kuba kigulumivu nnyo.
261,261.0,Nze bwe nnakula ne nva mu kukola eby'ekito.
262,262.0,Omuddusi oyo adduka nnyo ky'ava awangula buli kaseera.
263,263.0,Abavunaanyizibwa ku bisolo bagaanye okuwuliriza omulanga gwaffe.
264,264.0,Omuwadde ekikajjo kye nnakugambye okumuwa?
265,265.0,Yaleeta ebintu bitono nnyo era ne tumumma omukazi.
266,266.0,Omusiraamu eyakubiddwa amasasi teyabadde na musango.
267,267.0,Okusabiriza kikolwa nnyo mu baana naddala abato.
268,268.0,Okwetawula nga nzija eno mpulira nnakukoowa.
269,269.0,Ekibadde kiwoggana kati sikyakiwulira.
270,270.0,Obudde buno bubeera bwa kulya kyamisana.
271,271.0,Nange mumpeereze ku bintu bye baabawadde.
272,272.0,Omusaala gwe yabadde afuna mutono nnyo .
273,273.0,Okusinziira ku buyigirize bwange sisobola kukola mulimu ogwo.
274,274.0,Ekiwandiiko kino kinene naye kizibu nnyo kya kutegeera.
275,275.0,Abawandiika obubi musaana kuzzibwa mu kibiina.
276,276.0,Baakugamba okuwuliriza bazadde bo naye tewawulira yadde.
277,277.0,Ekisinga okunnuma kwe kukugamba nti sirina ssente n'otawulira.
278,278.0,Buli muntu alina okubeera omugumiikiriza mu bulamu bwe.
279,279.0,Edda nali ndowooza nti buli muntu azaala abeera mukulu naye si kituufu.
280,280.0,Omukungu bwe yafa abantu bonna baafuna okunyolwa mu mitima gyabwe.
281,281.0,Ekire ky'enkuba kikedde kutonnya era ne kireeta empewo mu kibuga.
282,282.0,Ebintu ebisinga mu bulamu bibeera bizibu nga tonnabitandika kubikola.
283,283.0,Omuntu alina olugambo kizibu nnyo kya kumuteresa byama byo.
284,284.0,Abasambi be tubadde twesiga tebasobodde kukola kye tubasuubiramu.
285,285.0,Omwana akuziddwa obulungi abeera yeegombebwa buli muntu amulabako.
286,286.0,Nze bwe naakula njagala kufuuka musawo wa bisolo.
287,287.0,Mu maaso eyo nnina ekirooto ky'okwesimbawo nga omukulu w'abayizi ku ssomero lino.
288,288.0,Bwe mutandika okuwoggana nga nze nfuluma.
289,289.0,Kizibu nnyo okuwuliriza eddoboozi ly'omuntu nga ali mu kifo ekiwoggana.
290,290.0,Nze era nnabadde ndowooza nti baawo gwe bakwatidde mu bubbi.
291,291.0,Ekiseera ekisinga nkimala nga mpandiika bitabo naddala eby'abaana.
292,292.0,Obuwuuwo bwe baatadde ku mmere eno bubadde butono nnyo.
293,293.0,Omusomesa yagenze okutusaba omulimu nga sinnagumaliriza.
294,294.0,Ebimu ku bintu ebisinga obukulu mu bulamu kwe kubeera omwetowaze ennyo.
295,295.0,Omusajja omwenzi atama naye ate n'omutamiivu tabeereka naye.
296,296.0,Abasaabaze abataagala kusasula bakumalako emirembe.
297,297.0,Ogamba nnabadde sibawulira we mwakomeddewo?
298,298.0,Bino ebintu birimu ssente naye lwakuba nti bikooya nnyo.
299,299.0,Nze nali nsuubira nti osobola okunnyamba naye tonnyambye.
300,300.0,Obujulizi obwaleetebwa mu kkooti bwonna omulamuzi yabugaana.
301,301.0,Baamusiba okumala emyaka mukaaga lwa kubba nte za taata we.
302,302.0,Nze ebintu byonna by'osomesezza mu butuufu sibitegedde.
303,303.0,Oyinza okunfunirayo ku bitabo by'okubala nga mukaaga oba musanvu?
304,304.0,Ono omwana gwe wabadde ogamba nti talina mpisa?
305,305.0,Enkuuka kye kivvulu ekisinga obuganzi mu Uganda ensangi zino.
306,306.0,Abayimbi bonna ono ye yabasinze okuyimba omwaka guno.
307,307.0,Ekyo kye wakoze nze nga mukulu wo nnabadde sikikusuubira mu.
308,308.0,Ekibumba kye kitundu ekisinga omugaso mu mubiri gw'omuntu.
309,309.0,Omusaayi gwe mukwafu nnyo era tegutambula bulungi mu mubiri.
310,310.0,Ekibadde kimuleetera omusujja omusawo akizudde.
311,311.0,Wano we muleese omulwadde wammwe tewaliiwo ddagala.
312,312.0,Ekisinga obukulu gwe kumanya nti olina ensobi ne weetonda.
313,313.0,Saayagadde kukugamba nti nze nnina ebitabo byo nga ojja kunsumbuwa.
314,314.0,Nze ekituufu nkimanyi wadde obwedda nsirise.
315,315.0,Nja kulinda omusomesa asooke kubakuba ndyoke njogere ekituufu.
316,316.0,Eky'okuddamu mmwe kye muwadde si kye kituufu okusinziira ku kibuuzo kino.
317,317.0,Ebbula ly'ensimbi lye liviiriddeko abaana abasinga okutandika okwetunda.
318,318.0,Oteekeddwa okuwandiika mu mukono ogusomeka oleme kufiirwa bubonero.
319,319.0,Ki ekisinga omugaso ku bintu bino byombi?
320,320.0,Obuyambi bwe twabadde twetaaga nga tetwabufunye?
321,321.0,Yafuna ensimbi nnyingi mu muzannyo gwe ogwasembayo.
322,322.0,Kiki ekisinze okukutabula n'omukazi oyo?
323,323.0,Abantu abamu balowooza nti omuntu bw'asirika abeera musiru.
324,324.0,Essimu gye baamukubira ekiro ye yasinga okuvaako obuzibu bwonna.
325,325.0,Enkola y'okuzza abantu abatalina mirimu mu byalo esaana kuzza.
326,326.0,Lwaki abantu abatalina mirimu beesibye nnyo mu bibuga?
327,327.0,Emirundi egimu tusaana tubeere ba mazima eri obulamu bwaffe?
328,328.0,Lwaki toyagala kugenda mu ddwaliro kwekebeza?
329,329.0,Wakoma ddi okugaba omusaayi?
330,330.0,Okimanyi bulungi nti ffe kkolero ly'omusaayi erisingayo?
331,331.0,Olowooza okugaba omusaayi kulimu kirungi ki?
332,332.0,Ani yali takumanyi nti gwe wali asinga eddalu mu kibiina ekyo?
333,333.0,Nnyinza kulya bintu ki okuzzaawo omubiri gwange?
334,334.0,Omugejjo omungi si mulungi mu bantu naddala abaana abato.
335,335.0,Gwe waakalaba abantu bameka abalya ebibala ebyo?
336,336.0,Amaaso nago ennaku zino bwafuuka bulwadde?
337,337.0,Tulinayo empaka z'okukubaganya ebirowoozo ku Bbalaza eno.
338,338.0,Wali weetabyeko mu mpaka zonna?
339,339.0,Amateeka gakyogera lwatu nti omuntu okwesimbawo alina okubeera ng'aweza emyaka egy'esalirawo.
340,340.0,Ojjukira ensasagge eyali mu lukiiko lw'eggwanga olukulu?
341,341.0,Lwaki abantu abasinga tebateeka kitiibwa mu ssemateeka?
342,342.0,Ensonga zange ze nnabawa abasinga baazisuula muguluka.
343,343.0,Omuwala oyo yandifubye n'asoma kuba bamuwa buli kimu.
344,344.0,Maama w'omwana oyo yafa nga omwana akyali muto.
345,345.0,Musaanye mulabirire amabujje gonna ge tulina mu ggwanga.
346,346.0,Ennaku zino abazadde bavudde ku ndiisa y'abaana ennungi.
347,347.0,Kaakati osanga omwana omuto nga alinga omuntu omukulu.
348,348.0,Ani avunaanyizibwa ku mbeera eno eri mu ggwanga?
349,349.0,Weetegereze olabe oba bino byonna ebiriwo birina gye bitutwala.
350,350.0,Lwaki ekittabantu ennaku zino kizzeemu?
